,title,url
0,La Cigale et la Fourmi,http:/www.lesfables.fr/livre-1/la-cigale-et-la-fourmi
1,Le Corbeau et le Renard,http:/www.lesfables.fr/livre-1/le-corbeau-et-le-renard
2,La Grenouille qui veut se faire aussi grosse que le Boeuf,http:/www.lesfables.fr/livre-1/la-grenouille-qui-veut-se-faire-aussi-grosse-que-le-boeuf
3,Les deux Mulets,http:/www.lesfables.fr/livre-1/les-deux-mulets
4,Le Loup et le Chien,http:/www.lesfables.fr/livre-1/le-loup-et-le-chien
5,"La Génisse, la Chèvre et la Brebis en société avec le Lion",http:/www.lesfables.fr/livre-1/la-genisse-la-chevre-et-la-brebis-en-societe-avec-le-lion
6,La Besace,http:/www.lesfables.fr/livre-1/la-besace
7,L’Hirondelle et les Petits Oiseaux,http:/www.lesfables.fr/livre-1/l-hirondelle-et-les-petits-oiseaux
8,Le Rat de ville et le Rat des champs,http:/www.lesfables.fr/livre-1/le-rat-de-ville-et-le-rat-des-champs
9,Le Loup et l’Agneau,http:/www.lesfables.fr/livre-1/le-loup-et-l-agneau
10,L’Homme et son image,http:/www.lesfables.fr/livre-1/l-homme-et-son-image
11,Le Dragon à plusieurs têtes et le Dragon à plusieurs queues,http:/www.lesfables.fr/livre-1/le-dragon-plusieurs-tetes-et-le-dragon-plusieurs-queues
12,Les Voleurs et l’Âne,http:/www.lesfables.fr/livre-1/les-voleurs-et-l-ane
13,Simonide préservé par les Dieux,http:/www.lesfables.fr/livre-1/simonide-preserve-par-les-dieux
14,La Mort et le Malheureux,http:/www.lesfables.fr/livre-1/la-mort-et-le-malheureux
15,La Mort et le Bûcheron,http:/www.lesfables.fr/livre-1/la-mort-et-le-bucheron
16,L’Homme entre deux âges et ses deux Maîtresses,http:/www.lesfables.fr/livre-1/l-homme-entre-deux-ages-et-ses-deux-maitresses
17,Le Renard et la Cigogne,http:/www.lesfables.fr/livre-1/le-renard-et-la-cigogne
18,L’Enfant et le Maître d’école,http:/www.lesfables.fr/livre-1/l-enfant-et-le-maitre-d-ecole
19,Le Coq et la Perle,http:/www.lesfables.fr/livre-1/le-coq-et-la-perle
20,Les Frelons et les Mouches à miel,http:/www.lesfables.fr/livre-1/les-frelons-et-les-mouches-miel
21,Le Chêne et le Roseau,http:/www.lesfables.fr/livre-1/le-chene-et-le-roseau
22,Contre ceux qui ont le goût difficile ,http:/www.lesfables.fr/livre-2/contre-ceux-qui-ont-le-gout-difficile
23,Conseil tenu par les Rats,http:/www.lesfables.fr/livre-2/conseil-tenu-par-les-rats
24,Le Loup plaidant contre le Renard par devant le Singe ,http:/www.lesfables.fr/livre-2/le-loup-plaidant-contre-le-renard-par-devant-le-singe
25,Les deux Taureaux et une Grenouille ,http:/www.lesfables.fr/livre-2/les-deux-taureaux-et-une-grenouille
26,La Chauve-Souris et les deux Belettes,http:/www.lesfables.fr/livre-2/la-chauve-souris-et-les-deux-belettes
27,L’Oiseau blessé d’une flèche,http:/www.lesfables.fr/livre-2/l-oiseau-blesse-d-une-fleche
28,La Lice et sa Compagne ,http:/www.lesfables.fr/livre-2/la-lice-et-sa-compagne
29,L’Aigle et l’Escarbot ,http:/www.lesfables.fr/livre-2/l-aigle-et-l-escarbot
30,Le Lion et le Moucheron ,http:/www.lesfables.fr/livre-2/le-lion-et-le-moucheron
31,L’Âne chargé d’éponges et l’Âne chargé de sel ,http:/www.lesfables.fr/livre-2/l-ane-charge-d-eponges-et-l-ane-charge-de-sel
32,Le Lion et le Rat ,http:/www.lesfables.fr/livre-2/le-lion-et-le-rat
33,La Colombe et la Fourmi ,http:/www.lesfables.fr/livre-2/la-colombe-et-la-fourmi
34,L’Astrologue qui se laisse tomber dans un puits ,http:/www.lesfables.fr/livre-2/l-astrologue-qui-se-laisse-tomber-dans-un-puits
35,Le Lièvre et les Grenouilles ,http:/www.lesfables.fr/livre-2/le-lievre-et-les-grenouilles
36,Le Coq et le Renard ,http:/www.lesfables.fr/livre-2/le-coq-et-le-renard
37,Le Corbeau voulant imiter l’Aigle ,http:/www.lesfables.fr/livre-2/le-corbeau-voulant-imiter-l-aigle
38,Le Paon se plaignant à Junon ,http:/www.lesfables.fr/livre-2/le-paon-se-plaignant-junon
39,La Chatte métamorphosée en femme ,http:/www.lesfables.fr/livre-2/la-chatte-metamorphosee-en-femme
